Name,County,Address,Coordinates,Description,Verified_Access
DIXIE SPRING (DIXIE SPRING IE),Dixie,"Dixie County, Florida","29.67699444, -83.36082306","Information on this spring can be found in SRWMD WR00-03, pg. 36. Spring is also listed in FGS Bulletin 66 appendix B2.",Not Verified
DIXIE SPRING (DIXIE SPRING IE),Dixie,"Dixie County, Florida","29.67655944, -83.36402972","Information on this spring can be found in SRWMD WR00-03, pg. 37. Spring also listed in FGS Bulletin66 Appendix B2.",Not Verified
DIXIE SPRING 95971 (DIXIE SPRING IE),Dixie,"Dixie County, Florida","29.70439836, -82.95274236",Information on this spring can be found in FGS Bulletin 66 and SRWMD report WR99-02.,Not Verified
DIXIE UNNAMED SPRING,Dixie,"Dixie County, Florida","29.68625564, -82.95983823",Information on this spring can be found in FGS Bulletin 66 on pg. 453,Not Verified
DOBES HOLE SPRING,Pasco,"Pasco County, Florida","28.43438889, -82.16969444",'Nontidal spring,Not Verified
DOGWOOD SPRING,Gilchrist,"Gilchrist County, Florida","29.83805583, -82.70179278",Natural spring in Florida,Not Verified
DOUBLE KEYHOLE SPRING (PASCO),Pasco,"Pasco County, Florida","28.41518611, -82.67527222",Natural spring in Florida,Not Verified
DOUBLE KEYHOLE SPRING (PASCO),Pasco,"Pasco County, Florida","28.41548889, -82.67658611",Station is downstream vent to the west of other vent.,Not Verified
DOUBLE KEYHOLE SPRING RISE (PASCO),Pasco,"Pasco County, Florida","28.41551667, -82.67655",Natural spring in Florida,Not Verified
DOUBLE RUN SPRING (LAKE),Lake,"Lake County, Florida","28.67972222, -81.74222222",SJRWMD states that this spring discharges in a swampy area and may be a surficial aquifer seep.  They have not been able to locate the exact vent since the source is on private property with no permission.,Not Verified
DOUBLE SPRING (HILLSBOROUGH),Hillsborough,"Hillsborough County, Florida","28.03623312, -82.34375773",Spring     Boiling up from middle of Tampa Bypass Canal,Not Verified
DOUBLE SPRING (JACKSON),Jackson,"Jackson County, Florida","30.70379995, -85.30310002",Spring is listed in FGS B66 and NWFWMD WRSR 0401,Not Verified
DOUBLE SPRING (WAKULLA),Wakulla,"Wakulla County, Florida","30.25230556, -84.27166667",This spring is listed in NWFWMD WRSR06-03.,Not Verified
DRINKING SPRING,Washington,"Washington County, Florida","30.61245181, -85.82321789",Spring is listed in FGS B66,Not Verified
DROTY SPRING,Lake,"Lake County, Florida","28.8280653, -81.51036028",Spring     Multiple seeps and small vent coming from hillside.,Not Verified
DRY CREEK RISE,Jackson,"Jackson County, Florida","30.68863051, -85.29110002",Spring is listed in FGS B66 and NWFWMD WRSR0401 reports.,Not Verified
Delirium Spring,LK,"LK County, Florida","29.047468, -81.462065",Spring was reported by private citizen Keith Addison. Spring contains a visible sand boil. Spring discharges into a small stream that runs beneath Deerhaven Rd.,Not Verified
EAST LAKE TOHOPEKALIGA UNNAMED SPRING NW,Osceola,"Osceola County, Florida","28.3337, -81.2398",Natural spring in Florida,Not Verified
EAST LAKE TOHOPEKALIGA UNNAMED SPRING SW,Osceola,"Osceola County, Florida","28.2732, -81.2907",Natural spring in Florida,Not Verified
EATON CREEK SPRINGS,Marion,"Marion County, Florida","29.33833333, -81.88388889",Natural spring in Florida,Not Verified
ECONFINA UNNAMED SPRING,Bay,"Bay County, Florida","30.43151682, -85.54743484",Spring     Not Flowing,Not Verified
EGLIN BLUE SPRING,Okaloosa,"Okaloosa County, Florida","30.64605952, -86.45184307",Seep,County Park
ELDER SPRING,Seminole,"Seminole County, Florida","28.74105136, -81.29132158","Seep     No run or pool, trickles out into floodplain",Not Verified
ELLAVILLE SPRING,Suwannee,"Suwannee County, Florida","30.38446611, -83.172505",Natural spring in Florida,Not Verified
ESPIRITU SANTO SPRINGS,Pinellas,"Pinellas County, Florida","27.99090504, -82.68720322",There are 5 separate springs in this location.  Spring waters are collected in swimming pool that is used for health spa called Safety Harbor Resort and Spa,Not Verified
EUCHEE SPRING (WALTON),Walton,"Walton County, Florida","30.73712153, -86.19349311",Seep; Multiple seeps in seepage run.,Not Verified
EUREKA SPRING,HL,"HL County, Florida","28.00595565, -82.34587513","Associated with the sixmile creek basin. FGS-B66 sugests a man made origin, FGS-B31 makes no mention of man made vs natural origin.",Not Verified
EUREKA SPRING #1,Hillsborough,"Hillsborough County, Florida","28.00611111, -82.34444444",Natural spring in Florida,Not Verified
EUREKA SPRING #2,Hillsborough,"Hillsborough County, Florida","28.00638889, -82.34361111",Natural spring in Florida,Not Verified
EUREKA SPRING #3,Hillsborough,"Hillsborough County, Florida","28.00638889, -82.3425",Natural spring in Florida,Not Verified
EUREKA SPRING #4,Hillsborough,"Hillsborough County, Florida","28.00638889, -82.34388889",Natural spring in Florida,Not Verified
EUREKA UNNAMED SPRING,HL,"HL County, Florida","28.00742395, -82.34405502","Associated with sixmile creek basin. FGS-B66 suggests a man made origin, FGS-B31 makes no mention of man made vs natural origin",Not Verified
EVA SPRING,Taylor,"Taylor County, Florida","29.67771388, -83.39925278","Information on this spring can be found in FGS Bulletin 66, pg. 631 and in SRWMD WR00-03.",Not Verified
EVERGREEN SPRING #1,Jackson,"Jackson County, Florida","30.67732067, -85.12862899",Spring is listed in NWFWMD WRSR 04-01,Not Verified
EVERGREEN SPRING #2,Jackson,"Jackson County, Florida","30.67662265, -85.12950752",Spring is listed in NWFWMD WRSR 0401 in the Rocky Creek Springs Group as a karst window.,Not Verified
EVERGREEN SPRING #3,Jackson,"Jackson County, Florida","30.67614495, -85.13094253",Spring is listed in NWFWMD WRSR 0401 in the Rocky Creek Springs Group as a karst window.,Not Verified
EWING SPRING,Taylor,"Taylor County, Florida","30.07388889, -83.66583333","Spring is listed in FGS B66 Appendix B2, originally documented by SRWMD.",Not Verified
FALMOUTH SPRING,Suwannee,"Suwannee County, Florida","30.36116306, -83.13499167",Natural spring in Florida,Not Verified
FANNING SPRINGS,Levy,"Levy County, Florida","29.58758944, -82.93530444","Information on this spring can be found in FGS Bulletins 31, 31R and 66 and SRWMD report WR99-02.",State Park
FARA SPRING,Madison,"Madison County, Florida","30.27623331, -83.23581886",Spring,Not Verified
FENCELINE SPRING,Bay,"Bay County, Florida","30.43004295, -85.54752523",Spring referenced in NWFWMD WRSR 04-02,Not Verified
FENHOLLOWAY SPRING,Taylor,"Taylor County, Florida","30.07316702, -83.6667566","Spring is listed in FGS B66. Spring discharges from the base of a large oak tree, along the southern bank of the Fenholloway River near the confluence of Spring Creek.",Not Verified
FENNEY SPRING,Sumter,"Sumter County, Florida","28.7949975, -82.03811417",Natural spring in Florida,Not Verified
FERN HAMMOCK SPRINGS,Marion,"Marion County, Florida","29.18357333, -81.70819472",Natural spring in Florida,National Forest
FIRECRACKER SPRING,Hamilton,"Hamilton County, Florida","30.51808467, -83.23855771",Spring type is estavelle.  SRWMD 070115;,Not Verified
FIRST FISHERMANS PARADISE SPRING,Marion,"Marion County, Florida","29.21558333, -82.04733333",Natural spring in Florida,Not Verified
FISH HOOK SPRING #1,Marion,"Marion County, Florida","29.508368, -81.901514",Natural spring in Florida,Not Verified
FISH HOOK SPRING #2,Marion,"Marion County, Florida","29.509041, -81.902304",Natural spring in Florida,Not Verified
FLETCHER SPRING,Lafayette,"Lafayette County, Florida","29.84666667, -82.89277778","Information on this spring can be found in FGS Bulleitn 31, 31R and 66 as well as SRWMD WR99-02.",Not Verified
FOLSOM SPRING,Taylor,"Taylor County, Florida","30.11384999, -83.57814722",Information on this spring can be found in FGS Bulletin 66.,Not Verified
FOREST SPRING,Putnam,"Putnam County, Florida","29.45879998, -81.6585",Spring     Excessive sulphur bacteria.          Film,Not Verified
FRESHWATER CAVE,Taylor,"Taylor County, Florida","29.99166667, -83.92333333",Submarine spring discharging below sea level in coastal saltwater. Located 2.5 mi South of the mouth of Econfina River DJH 013121;,Not Verified
FSUML Spring,FK,"FK County, Florida","29.90493651, -84.50980979","This spring is plotted on the ""known offshore springs in the Florida Big Bend Region"" map on page 27 of FGS Bulletin 66. Low location accuracy.",Not Verified
FWS SPRING COMPLEX #1,Citrus,"Citrus County, Florida","28.88424722, -82.593575",Spring system has two vents; fractures in limestone; discharge moderate to high,Not Verified
GADSEN SPRING,Jackson,"Jackson County, Florida","30.70335511, -85.28844852",Natural spring in Florida,Not Verified
GAINER SPRING #1A,Bay,"Bay County, Florida","30.42864755, -85.54614613",Gainer Springs 1A-I are featured in NWFWMD WRSR 04-02,Not Verified
GAINER SPRING #1B,Bay,"Bay County, Florida","30.42864255, -85.54648713",Gainer Springs 1A-1I are featured in NWFWMD WRSR 04-02,Not Verified
GAINER SPRING #1C,Bay,"Bay County, Florida","30.42767855, -85.54606761",Natural spring in Florida,Not Verified
GAINER SPRING #1D,Bay,"Bay County, Florida","30.42864155, -85.54625413",Natural spring in Florida,Not Verified
GAINER SPRING #1E,Bay,"Bay County, Florida","30.42865855, -85.54647613",Natural spring in Florida,Not Verified
GAINER SPRING #1F,Bay,"Bay County, Florida","30.42867255, -85.54673213",Natural spring in Florida,Not Verified
GAINER SPRING #1G,Bay,"Bay County, Florida","30.42739755, -85.54680113",Spring is featured in NWFWMD WRSR 04-02,Not Verified
GAINER SPRING #1H,Bay,"Bay County, Florida","30.42739155, -85.54697313",Spring is featured in NWFWMD WRSR 04-02,Not Verified
GAINER SPRING #1I,Bay,"Bay County, Florida","30.42737515, -85.54768942",Natural spring in Florida,Not Verified
GAINER SPRING #2,Bay,"Bay County, Florida","30.42739217, -85.54832003",Natural spring in Florida,Not Verified
GAINER SPRING #3,Bay,"Bay County, Florida","30.42897301, -85.54878684",Spring is featued in FGS B66 and NWFWMD WRSR 2004-02,Not Verified
GAINER SPRING #4,Bay,"Bay County, Florida","30.42541215, -85.54845002",Spring is featured in FGS B66 and NWFWMD WRSR 2004-02,Not Verified
GAINER SPRING #5,Bay,"Bay County, Florida","30.4269444, -85.54832225",Natural spring in Florida,Not Verified
GALLOWAY SPRING,Washington,"Washington County, Florida","30.59757558, -85.84215422","Spring is listed in FGS B66 and NWFWMD WRSR 2008-01, more info provided in B66.",Not Verified
GANDER SPRING,WK,"WK County, Florida","30.12933295, -84.26683303",This spring is not listed in any DEP spring publications but is documented in the Springs Fever report by J. Follman and R. buchanan,Not Verified
GAR SPRING (PASCO),Pasco,"Pasco County, Florida","28.29885, -82.71846667",Natural spring in Florida,Not Verified
GARDEN OF EDEN SPRING,Marion,"Marion County, Florida","29.21613889, -82.04855556","Previous version of dataset included multiple records with same coordinate information, see STATION_NA for list of combined records",Not Verified
GARMIN SPRING,Taylor,"Taylor County, Florida","29.96269995, -83.73780003",Natural spring in Florida,Not Verified
GARNER SPRING,Jefferson,"Jefferson County, Florida","30.3303101, -83.98311631",This spring is listed in FGS Bulleitn 66 and SRWMD WR-00-03.,Not Verified
GARYS GROTTO,Citrus,"Citrus County, Florida","28.87649444, -82.59893889",Complex has multiple fractures in limestone bottom; discharge moderate,Not Verified
GARYS GROTTO,Citrus,"Citrus County, Florida","28.87833333, -82.59741111",Complex has multiple fractures in limestone bottom; discharge moderate,Not Verified
GATOR HOLE SPRING (JACKSON),Jackson,"Jackson County, Florida","30.7778744, -85.16715289",Spring is listed in FGS B66 and in several Florida spring research websites,Not Verified
GATOR SPRING (HERNANDO),Hernando,"Hernando County, Florida","28.43409861, -82.65155917",Natural spring in Florida,Not Verified
GEMINI SPRINGS #1,Volusia,"Volusia County, Florida","28.86289222, -81.31147556",SJRWMD renumbered Gemini Spg vents; SJRWMD Spring 1 (Spring 2 Rosenau 1977) and SJRWMD Spring 2 (Spring 3 Rosenau 1977). Roseneau old station Spring 1 is actually well to inc spring flow now abandoned plugged.  Not in SJRWMD stations.,County Park
GEMINI SPRINGS #2,Volusia,"Volusia County, Florida","28.86284083, -81.31091833",SJRWMD renumbered Gemini Spg vents; SJRWMD Spring 1 (Spring 2 Rosenau 1977) and SJRWMD Spring 2 (Spring 3 Rosenau 1977). Roseneau old station Spring 1 is actually well to inc spring flow now abandoned plugged.  Not in SJRWMD stations.,County Park
GERRELL MAIN SPRING #1,Leon,"Leon County, Florida","30.28119444, -84.14746111",Natural spring in Florida,Not Verified
GERRELL SPRING #2,Leon,"Leon County, Florida","30.28110528, -84.1474475",Need Elly Spring name chg to Gerrell; GROUP 28 CFS (27 CFS TO SWALLET & 1CFS DISCHARGE DOWNSTREAM,Not Verified
GERRELL SPRING #3,Leon,"Leon County, Florida","30.28115389, -84.14752111",GROUP 28 CFS (27 CFS TO SWALLET & 1CFS DISCHARGE DOWNSTREAM,Not Verified
GERRELL SPRING #4,Leon,"Leon County, Florida","30.28125056, -84.1479",GROUP 28 CFS (27 CFS TO SWALLET & 1CFS DISCHARGE DOWNSTREAM,Not Verified
GERRELL SPRING #5,Leon,"Leon County, Florida","30.28140417, -84.14798167",GROUP 28 CFS (27 CFS TO SWALLET & 1CFS DISCHARGE DOWNSTREAM,Not Verified
GEYSER SPRING,Marion,"Marion County, Florida","29.21538889, -82.05008333",Natural spring in Florida,Not Verified
GIL1012973,Gilchrist,"Gilchrist County, Florida","29.85618665, -82.73289471",Natural spring in Florida,Not Verified
GILCHRIST BLUE SPRING,Gilchrist,"Gilchrist County, Florida","29.82990028, -82.68285139",Natural spring in Florida,State Park
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.86027194, -82.87953444",Natural spring in Florida,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.85590137, -82.73218951",Spring     Magnitude estimated by Hornsby.,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.85604995, -82.73270947",Spring,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.86447972, -82.74007194",Natural spring in Florida,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.89100417, -82.87416611",There is a sunken boat in the spring vent.,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.89899722, -82.86625528",Natural spring in Florida,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.88935361, -82.87496778",Natural spring in Florida,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.9127625, -82.83678667",Natural spring in Florida,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.91340361, -82.83668917",Natural spring in Florida,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.82986215, -82.89144027",Information on this spring can be found in SRWMD WR99-02 and FGS Bulletin 66.,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.85884833, -82.8808525",Natural spring in Florida,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.87559773, -82.75189185",Spring,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.88045722, -82.75330833",Natural spring in Florida,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.92133083, -82.82410306",Natural spring in Florida,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.93091874, -82.80241581",Spring,Not Verified
GILCHRIST SPRING,Gilchrist,"Gilchrist County, Florida","29.91859889, -82.77173917",Natural spring in Florida,Not Verified
GILCHRIST UNNAMED SPRING,Gilchrist,"Gilchrist County, Florida","29.89683109, -82.76713152",Spring     Need to determine if this is a spring. Index,Not Verified
GINGER ALE SPRING,Seminole,"Seminole County, Florida","28.69265803, -81.3910826",Spring     9 sand boils are encompassed by a cement wall.,Not Verified
GINNIE SPRING,Gilchrist,"Gilchrist County, Florida","29.83633861, -82.70012083",Natural spring in Florida,Private/Recreation Area
GIRADOT,Citrus,"Citrus County, Florida","28.794722, -82.585278",Revised Location from 2016; Previous version of dataset had Homosassa SE Fork Headspring plotted with the same coordinates as Crescent Drive Spring #G7 on Crystal River and was determined to be in the wrong location.,Not Verified
GLEN JULIA SPRINGS,Gadsden,"Gadsden County, Florida","30.65138884, -84.70750002","This spring is listed as a monitoring station by USGS, water quality parameters were obtained by USGS in 1956 and 1972, a review of this data indicates that this may be a seepage spring with a surface water component.",Not Verified
GLEN SPRING,Alachua,"Alachua County, Florida","29.67501169, -82.34789895","Private spring vent flows from limestone to man-made head pool then to 2 swimming pools.  
Spring Run to Hogtown Creek.  Nearby well sampled for sucralose project by Alachua County.",National Forest
GLOWING SPRING,Washington,"Washington County, Florida","30.45618051, -85.53221114",Spring is featured in FGS B66 and NWFWMD WRSR04-02,Not Verified
GOLD HEAD BRANCH,Clay,"Clay County, Florida","29.84169999, -81.954",Seeps     Series of seeps feeding into one large run.          Film,Not Verified
GOLFVIEW BOATHOUSE SPRING,Citrus,"Citrus County, Florida","28.86806111, -82.59186111",Our first sampling of this site was in July 2010; Location does NOT match Jay's Location.,Not Verified
GOLFVIEW SPRINGS COMPLEX #1,Citrus,"Citrus County, Florida","28.87951667, -82.59219444",Third spring complex has 10 vents located southeast of other two vents and north of Golfview subdivision; discharge low to moderate if small vents are flowing;  if only large vent discharging then stronger flow--6/1/2010;,Not Verified
GOLFVIEW SPRINGS COMPLEX #2,Citrus,"Citrus County, Florida","28.87953333, -82.592275",Two spring vents are located close together and north of Golfview subdivision; discharge low,Not Verified
GOLFVIEW SPRINGS COMPLEX #3,Citrus,"Citrus County, Florida","28.88388333, -82.59364167",Two spring vents are located close together and north of Golfview subdivision; discharge low; Location isnt consistent with group name.,Not Verified
GOURD NECK SPRINGS,Lake,"Lake County, Florida","28.56666667, -81.67722222",Natural spring in Florida,Not Verified
GRASSY HOLE SPRING,Columbia,"Columbia County, Florida","29.96777778, -82.75972222",Natural spring in Florida,Not Verified
GREEN ALGAE BOIL SPRING,Lake,"Lake County, Florida","28.87579915, -81.44020392",Spring,Not Verified
GREEN COVE SPRING,Clay,"Clay County, Florida","29.99340056, -81.67791056",Natural spring in Florida,Not Verified
GREEN SPRING,Volusia,"Volusia County, Florida","28.86278868, -81.24747884",Spring has small pool and has ephemeral stream outlet not frequently measured for discharge.  Film noticed on water.  djh 091614;,Not Verified
GROTTO SPRINGS,Calhoun,"Calhoun County, Florida","30.59941221, -85.16424406","Spring is liste in FGS B66 and NWFWMD WRSR0401; 4 vents in this system, location is at main head vent",Not Verified
GUARANTO SPRING,Dixie,"Dixie County, Florida","29.77979694, -82.93995806",Information on this spring can be found in FGS Bulletins 31R and 66 and SRWMD report WR99-02.,Not Verified
GUD SPRING,Taylor,"Taylor County, Florida","29.96979995, -83.75100002",Natural spring in Florida,Not Verified
GUM SPRING #1,Sumter,"Sumter County, Florida","28.95930139, -82.23078472",Natural spring in Florida,Not Verified
GUM SPRING #2,Sumter,"Sumter County, Florida","28.95384361, -82.23685889",Natural spring in Florida,Not Verified
GUM SPRING #3,Sumter,"Sumter County, Florida","28.95366889, -82.23736222",Natural spring in Florida,Not Verified
GUM SPRING #4,Sumter,"Sumter County, Florida","28.95330556, -82.2405",Natural spring in Florida,Not Verified
GUNNER SPRING,Columbia,"Columbia County, Florida","29.92650682, -82.76960841",Spring type is estavelle.  SRWMD 070115;,Not Verified
Gator Hole,Wakulla,"Wakulla County, Florida","29.92949995, -83.68120003",Visible boil on incoming tide.  Chunks of slimy iron stained substance blowing out of vent. Numerous baby gators. Dead cedar tree. POI ID 24; Located on boat by: Karlee Fowler and Tom Greenhalgh,Not Verified
HALLS RIVER HEAD SPRING,Citrus,"Citrus County, Florida","28.82680806, -82.58032667",Natural spring in Florida,Not Verified
HALLS RIVER SPRING #1,Citrus,"Citrus County, Florida","28.82246667, -82.59394583",Natural spring in Florida,Not Verified
HALLS RIVER SPRING #2,Citrus,"Citrus County, Florida","28.82657806, -82.58322944",Natural spring in Florida,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.42040887, -83.21427207",Spring,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.44042096, -83.21958341",Spring     Two spring boils in the river.,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.47474643, -83.24338283",Spring,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.41895111, -83.14514583",Natural spring in Florida,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.41892777, -83.14906944",Spring     Not Flowing,Not Verified
HAMILTON SPRING,Madison,"Madison County, Florida","30.41567417, -83.1993725",Natural spring in Florida,Not Verified
HAMILTON SPRING,Suwannee,"Suwannee County, Florida","30.34314528, -82.84141806",Not Flowing May 2011 site visit by Gary Maddox,Not Verified
HAMILTON SPRING,Suwannee,"Suwannee County, Florida","30.42605472, -83.02246889",Natural spring in Florida,Not Verified
HAMILTON SPRING,Suwannee,"Suwannee County, Florida","30.42790917, -83.02791528",Not flowing during visit on May 2012,Not Verified
HAMILTON SPRING,Suwannee,"Suwannee County, Florida","30.423234, -83.010643",Spring was located in the field by Gary Maddox.  Mapping near Suwannee Hamilton boundary 040121 djh;,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.41771694, -82.96596167",Natural spring in Florida,Not Verified
HAMILTON SPRING,Suwannee,"Suwannee County, Florida","30.39017139, -82.92683222",Natural spring in Florida,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.40035889, -82.94342722",Natural spring in Florida,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.38614333, -82.9063525",Natural spring in Florida,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.42663889, -83.02316667",Discharging from base of limestone bluff on north side of river; estimated 4th magnitude; Field visit on 5/19/2011 discovered and named by G. Maddox,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.43033333, -83.06066667",Discharging from river bed at base of high limestone bluff on north side of river; strong smell of sulfur; milky discharge; estimated 3rd magnitude; field visit on 5-19-11 discovered and named by G. Maddox,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.55246778, -83.26025716",Natural spring in Florida,Not Verified
HAMILTON SPRING,Hamilton,"Hamilton County, Florida","30.41743396, -83.20740775",Dry     Not Flowing,Not Verified
HAMILTON SPRING (CALHOUN),Calhoun,"Calhoun County, Florida","30.5192523, -85.16319879",Spring is listed in FGS B66 and NWFWMD WRSR0401; Two connected vents along run with land bridges,Not Verified
HAMPTON SPRING (TAYLOR),Taylor,"Taylor County, Florida","30.08148882, -83.66284597",Man made spring pool.,Not Verified
HARDEN SPRING,Seminole,"Seminole County, Florida","28.83277778, -81.43277778",Man Made,Not Verified
HART SPRINGS #1,Gilchrist,"Gilchrist County, Florida","29.67519306, -82.95190167",Information on this spring can be found in FGS Bulletin 66 and SRWMD report WR99-02.,County Park
HART SPRINGS #3,Gilchrist,"Gilchrist County, Florida","29.67574083, -82.95171139",Information on this spring can be found in FGS Bulletin 66 and SRWMD report WR99-02.,County Park
HAWKS CRY SPRING,Wakulla,"Wakulla County, Florida","30.2570444, -84.2756111",This spring is listed in NWFWMD WRSR06-03.,Not Verified
HAYS SPRING #1 (JACKSON),Jackson,"Jackson County, Florida","30.89577495, -85.22509725",Spring is listed in FGS B66 and in NWFWMD WRSR 04-01,Not Verified
HAYS SPRING (JACKSON),Jackson,"Jackson County, Florida","30.8950919, -85.22448475",Spring is listed in FGS B66 and in NWFWMD WRSR 04-01,Not Verified
HEALTH SPRING,Pinellas,"Pinellas County, Florida","28.10641255, -82.77224694",Spring     Behind chain-linked fence,Not Verified
HEATH SPRING,Seminole,"Seminole County, Florida","28.74519368, -81.12815168",Seep     Small seep off side of road feeding into small pond.,Not Verified
HEIDI HOLE SPRING,Jackson,"Jackson County, Florida","30.78071355, -85.16342803","Spring is not listed in any publication, spring is referenced in NaturalAtlas.com, contact NWFWMD for more information",Not Verified
HEILBRONN SPRING,Bradford,"Bradford County, Florida","30.02361111, -82.15638889",Natural spring in Florida,Not Verified
HELENE SPRING,Lake,"Lake County, Florida","28.87327778, -81.45277778",Natural spring in Florida,Not Verified
HELLER SPRING #1,Jackson,"Jackson County, Florida","30.83142495, -85.32698891",Spring is listed in FGS B66 appendix B2 (Springs not visited by FGS springs team) and NWFWMD WRSR 04-01,Not Verified
HENRY GREEN SPRING,Sumter,"Sumter County, Florida","28.86929389, -82.09470333",Natural spring in Florida,Not Verified
HIDDEN RIVER HEAD SPRING,Citrus,"Citrus County, Florida","28.76872222, -82.58325",Natural spring in Florida,Not Verified
HIDDEN RIVER SPRING #2,Citrus,"Citrus County, Florida","28.76861361, -82.58434194",Natural spring in Florida,Not Verified
HIDDEN RIVER SPRING #6,Citrus,"Citrus County, Florida","28.76813889, -82.58497222",Natural spring in Florida,Not Verified
HIDDEN RIVER SPRING #7,Citrus,"Citrus County, Florida","28.76627778, -82.58505556",Natural spring in Florida,Not Verified
HIDDEN SPRING (HOLMES),Holmes,"Holmes County, Florida","30.81288279, -85.81619986","Water Quality data included in CHOCTAWHATCHEE RIVER SPRINGS INVENTORY HOLMES, WALTON, AND WASHINGTON COUNTIES, FL WRSR05-02",Not Verified
HIDDEN SPRING (JACKSON),Jackson,"Jackson County, Florida","30.70561105, -85.30724724",Spring is lsited in FGS B66 appendix B1,Not Verified
HIDDEN SPRING (SUWANNEE),Suwannee,"Suwannee County, Florida","30.10260385, -83.11399934",Spring     vents are seeps beneath riverbank.,Not Verified
HIGHTOWER SPRING,Washington,"Washington County, Florida","30.60505235, -85.76541894",Spring is listed in FGS B66 and NWFWMD WRSR 2008-01,Not Verified
HILL SPRINGS,Jackson,"Jackson County, Florida","30.66434147, -84.92628338",Spring is listed in FGS Bulletin 66.,Not Verified
HOGPEN SPRING,Jackson,"Jackson County, Florida","30.66056893, -85.16009544",Spring is listed in NWFWMD WRSR 0401 report.,Not Verified
HOLE-IN-THE-ROCK SPRING,Jackson,"Jackson County, Florida","30.78338779, -85.15614238","This spring has also been called Hole In The Wall Spring, it is listed in FGS B66 and NWFWMD WRSR0401",Not Verified
HOLIDAY SPRING,Lake,"Lake County, Florida","28.74040239, -81.81796904",Spring; Numerous sand boils feed run; Film; discharge from horozontal sand filled cavity app2 ft below surface 121316 djh;,Not Verified
HOLLY SPRING,Gilchrist,"Gilchrist County, Florida","29.9175, -82.82416667",Natural spring in Florida,Not Verified
HOLMES BLUE SPRING,Holmes,"Holmes County, Florida","30.85167634, -85.88584669",Natural spring in Florida,County Park
HOLTON CREEK RISE,Hamilton,"Hamilton County, Florida","30.43791998, -83.05761426",Natural spring in Florida,Not Verified
HOMESTEAD SPRING,Wakulla,"Wakulla County, Florida","30.23437, -84.2812",This spring is and relevant water data listed in NWFWMD WRSR 06-03,Not Verified
HOMOSASSA SPRING #1,Citrus,"Citrus County, Florida","28.79926024, -82.58830322",Natural spring in Florida,Not Verified
HOMOSASSA SPRING #2,Citrus,"Citrus County, Florida","28.79924524, -82.58836322",Natural spring in Florida,Not Verified
HOMOSASSA SPRING #3,Citrus,"Citrus County, Florida","28.79924024, -82.58827822",Natural spring in Florida,Not Verified
HOMOSASSA UNNAMED SPRING #1,Citrus,"Citrus County, Florida","28.79829675, -82.58992809",Spring     Not flowing,Not Verified
HOMOSASSA UNNAMED SPRING #2,Citrus,"Citrus County, Florida","28.79803422, -82.58965039",Spring     Not flowing,Not Verified
HON CREEK RISE,Gilchrist,"Gilchrist County, Florida","29.8561911, -82.73305074",Spring type is resurgence.  SRWMD 070115;  Low Impact,Not Verified
HON CREEK RISE,Gilchrist,"Gilchrist County, Florida","29.85619083, -82.73305083",Natural spring in Florida,Not Verified
HORN SPRING,Leon,"Leon County, Florida","30.31921361, -84.12882269","This spring is listed in FGS Bulletins 31R and 66, it forms a spring run that feeds into the St. Marks River downstream.",Not Verified
HORNSBY SPRING,Alachua,"Alachua County, Florida","29.85035539, -82.59320121",Spring has stopped flowing for periods of time.  Site visit by Gary Maddox 2011 the spring was flowing again - est 2nd mag.,Not Verified
